hip_length,knee_length,ankle_length,heel_length,footindex_length
0.06586345649127402,0.01762080237620681,0.009215833669668173,0.008263430948005196,0.01335239151361726
0.06720138736095618,0.010047410474297172,0.011465155120638178,0.016159447138166437,0.020493552548714825
0.07695814527704219,0.04925695479308683,0.03027806984491383,0.037357096999187066,0.029763407999263136
0.09044097073661568,0.11930100284735896,0.10120898755620575,0.10624222768051622,0.10903558653530297
0.09373417128362443,0.15704622001908872,0.15982822367751423,0.16619125470820645,0.17031502304385843
0.09261931754593426,0.18136068430305322,0.23490079218259172,0.24675041345988113,0.26192652658962073
0.0725094775629226,0.1786754245196553,0.2577186335920105,0.273435011515247,0.29653896148206577
0.07161932027387452,0.2435791440690762,0.47348184545371624,0.5078067620422232,0.5648743229945944
0.06796320989618275,0.2527516756197338,0.5389133950829335,0.5794417724868647,0.6464197507426164
0.06692910087955581,0.2813996561103341,0.6020765934547019,0.6460938650544977,0.7182141820021634
0.06629045063361577,0.29129865130748395,0.6420851188971164,0.6900777506761568,0.7735164138465113
0.06642051133051331,0.33156405656947985,0.664652676298938,0.7095736919301674,0.7914920211641434
0.06653822229181251,0.35183502723952687,0.6813987669752803,0.7278663933154327,0.8102109955192695
0.06675343790715463,0.3454593981657589,0.7058162294516942,0.7718659002313654,0.849910880329265
0.06562929528814587,0.32521696114034926,0.6562749869744768,0.7048717795163439,0.7844908210228859
0.06507175892677465,0.27883888986167943,0.5657160793365061,0.6104028481341809,0.6905240357000159
0.06213708306727782,0.15745837967495094,0.4477543538978847,0.46636757327368183,0.5050856860073123
0.05973510428755791,0.05347354482921753,0.11294201472061233,0.12165369126464709,0.11039240621753488
0.05674150355731066,0.04873134640383931,0.08324180147189299,0.1016938635928574,0.12320395461783679
0.051854784827419516,0.07435522194315167,0.03365218020497755,0.03273321013798396,0.027045013349863093
0.02527713702178513,0.25036976910126835,0.2418725758468871,0.23082716776256249,0.21193190036884096
0.023050652678817816,0.27145643667845176,0.3992586091191328,0.4055491911301599,0.4084431121113067
0.022648030978869596,0.3187074620487907,0.5383775079857485,0.5555704463947148,0.5645301276139786
0.0208446845341939,0.36735788588035295,0.6573413359150829,0.6824936438950507,0.6987619381527865
0.02032032718016332,0.3930242630510595,0.7025963199233648,0.7304953560932048,0.7578213085562712
0.02057505381566041,0.43746472368097733,0.7575387793547412,0.78742857469857,0.8207796839548424
0.01995611034948331,0.4782808412599144,0.7612816351416734,0.7863110392917901,0.8200433687463231
0.016501226548767154,0.44455672925441025,0.7245725756329389,0.7509374324637932,0.7848941430779027
0.016044369410958388,0.40067014859083494,0.6715994112656867,0.7041423591944421,0.7498343684166517
0.018848385919480962,0.23907825822802448,0.49059801009182913,0.5146472874383362,0.5814280038760958
0.02535857645619789,0.1447131302973072,0.34579017101073467,0.36349494682765016,0.4291475159146835
