left_hip_anlge,right_hip_anlge,left_knee_anlge,right_knee_anlge,left_ankle_angle_1,left_ankle_angle_2,right_ankle_angle_1,right_ankle_angle_2
186.6941428736146,179.30249326119483,178.15029441697035,191.7924166282413,112.7438557293965,112.7438557293965,114.80089146303105,175.38848528327176
184.39404707067263,177.47483706973762,182.49349571777424,194.7175585787413,112.81476689327293,112.81476689327293,115.68267095594597,177.8108746322782
176.19807854348667,175.06443572574153,199.27407769816074,196.835743052652,107.66285224584406,107.66285224584406,113.84309926194634,175.38183582570625
170.70838367426492,176.23621072530548,202.66967625235065,195.19567984133562,109.95772452221507,109.95772452221507,113.61629762410365,172.80855927238463
169.46847454698198,177.5434498864036,201.13356589978648,191.9407814090139,114.00785369882547,114.00785369882547,114.94776352316337,172.85941695111666
166.14538222836,174.8431008211929,196.10180223204136,190.61957590653577,118.7223133406417,118.7223133406417,114.66575365537891,172.53347604447848
165.23115028125247,171.77369507343386,193.8534285274179,189.54132192314697,114.46372706890564,114.46372706890564,112.08068479873518,173.63501366839157
158.42057255318502,173.47316496449452,190.53993131364214,198.60247447662195,116.88115216809823,116.88115216809823,104.32450293635885,172.03795830569214
157.87717835152193,171.95293766706146,185.76509922745507,199.97589053951302,119.21499129922911,119.21499129922911,105.65719960699597,171.6975037593313
156.2875983678269,173.35324902712895,182.2001722825815,196.81878062446265,120.09349327953862,120.09349327953862,103.55300050436804,170.4284280223887
155.64289397369433,173.63973156171622,181.29815106234682,198.78616144057426,119.13953577460067,119.13953577460067,106.79866899798523,172.71759977172462
151.53352761289298,174.62078934166686,191.23499684610795,200.72286631503317,115.26551766099375,115.26551766099375,109.29483051743226,172.73892408335956
147.6326810770599,174.12024142618392,203.52832452948974,209.50046295551456,109.94509013338504,109.94509013338504,111.90768446754875,174.99075079351147
147.74304796058456,174.16194764045775,205.95680815476902,216.27776059796003,110.98432727273506,110.98432727273506,112.06213472477448,175.67678113469287
150.52838061771618,174.4976632752428,209.62995395215992,218.29145267814275,110.04691292598639,110.04691292598639,108.79957566197606,174.9980215487856
155.0862530162754,172.0069039543558,210.63629998116093,221.36027259607795,110.56423672610298,110.56423672610298,117.50063284798661,176.37372707276378
165.6635752746256,165.62847876819293,206.71874515062325,232.4528708854399,112.86239410549712,112.86239410549712,99.7773520778576,151.63317474708313
173.94113542598808,159.77210999173522,206.8115474724544,220.20467323734348,113.74688106475425,113.74688106475425,120.46774650838532,173.04245024429213
181.19036801040374,161.69201625914138,188.17050488300177,219.78231371456437,119.22918001704544,119.22918001704544,128.13658425604046,179.48302443808709
178.92227906287656,159.2347918876481,185.97227454423373,213.66130709508423,112.07621335464121,112.07621335464121,112.23340507653624,175.39792601923054
184.23925748907587,148.48116682319076,179.06413112176807,219.8224834091893,114.47885663576413,114.47885663576413,125.16869288737777,181.49958430272957
187.78828972506042,152.64165121201512,180.27607687509428,201.77165431388227,115.11904828049438,115.11904828049438,135.0900963245169,179.68703312755795
188.82647043433536,149.30387942499837,180.2595483432409,193.46525065337258,115.68893597407036,115.68893597407036,141.94186583522992,178.1531168840804
192.6079468167806,148.2667866986782,181.30924089916152,189.7945922261383,110.74080447141678,110.74080447141678,136.22688375072332,176.87755206910808
194.816223591243,147.30591395652863,183.83108873126162,191.6929229910559,110.909653267649,110.909653267649,133.92136579300868,176.50380915992397
196.84181510617975,143.8152493412276,190.03971720740515,199.90984809976555,110.99640914014054,110.99640914014054,134.69347222799658,177.49006181131642
199.43819051684426,141.57118961256947,195.15104817341472,213.175559574428,111.30677873729722,111.30677873729722,133.09897263333247,178.78266098907332
201.76170256717953,146.7897907803666,200.5860429986255,214.31455344956,108.62337056654813,108.62337056654813,139.17429506761317,179.8849956382477
200.52016722281022,150.4929623439048,199.63181535747847,210.42652860079593,114.38770089705767,114.38770089705767,138.30962060232187,170.07285285077037
198.73683534597126,163.76064131475871,211.7432706841024,201.4683315618793,110.6383093825872,110.6383093825872,128.67968233519716,173.7043743242869
191.2804825013707,168.61755381465292,215.88507674827156,200.541643175683,119.32141794529183,119.32141794529183,124.08372938085255,176.1779217998926
